"tag_index","global_pvalue","video1concordance","video2concordance","video3concordance","video4concordance","video5concordance","video6concordance","video7concordance","video8concordance","video1pvalue","video2pvalue","video3pvalue","video4pvalue","video5pvalue","video6pvalue","video7pvalue","video8pvalue","video1mean","video2mean","video3mean","video4mean","video5mean","video6mean","video7mean","video8mean","video1sd","video2sd","video3sd","video4sd","video5sd","video6sd","video7sd","video8sd"
8,0.003,0.874074074074074,0.975,1,1,0.969175627240143,1,0.951111111111111,1,0.037,1,1,1,0.131,1,0.542,1,0.0666666666666667,0.0125,0,0,0.0161290322580645,0,0.025,0,0.249790998988129,0.11127643569537,0,0,0.12617544212909,0,0.156320472829262,0
9,0.019,0.941358024691358,0.975,0.994285714285714,1,1,1,0.913888888888889,1,0.045,1,1,1,1,1,0,1,0.0305555555555556,0.0125,0.00285714285714286,0,0,0,0.0525,0,0.172349719681647,0.11127643569537,0.0534522483824849,0,0,0,0.223312384458703,0
10,0,0.950617283950617,1,1,1,0.873835125448029,1,0.97,1,0.001,1,1,1,0.008,1,1,1,0.0277777777777778,0,0,0,0.0709677419354839,0,0.015,0,0.164564269960688,0,0,0,0.257186102876271,0,0.121704683867089,0
11,1,1,1,1,0.994594594594595,1,1,0.995,1,1,1,1,1,1,1,1,1,0,0,0,0.0027027027027027,0,0,0.0025,0,0,0,0,0.0519875244910036,0,0,0.05,0
12,0.022,0.990123456790123,0.99375,1,0.989189189189189,0.993548387096774,1,0.99,1,0.022,1,1,1,1,1,1,1,0.00555555555555556,0.003125,0,0.00540540540540541,0.0032258064516129,0,0.005,0,0.0744317168312178,0.0559016994374947,0,0.0734217720452783,0.0567961834247065,0,0.0706220126566724,0
14,1,1,0.99375,1,1,0.993548387096774,1,1,1,1,1,1,1,1,1,1,1,0,0.003125,0,0,0.0032258064516129,0,0,0,0,0.0559016994374947,0,0,0.0567961834247065,0,0,0
15,0,0.533333333333333,0.533333333333333,0.528253968253968,0.487687687687688,0.685304659498208,0.521269841269841,0.539444444444444,0.584722222222222,0.001,0,0.003,0.093,0.009,0,0,0.003,0.361111111111111,0.3875,0.345714285714286,0.402702702702703,0.190322580645161,0.394285714285714,0.3475,0.29375,0.480991187485668,0.487942388294633,0.476281475818597,0.49110598400605,0.393190286129486,0.489396363548946,0.476772513967813,0.456192158269361
16,0.118,0.690123456790123,0.670833333333333,0.699047619047619,0.644444444444444,0.821505376344086,0.655238095238095,0.706111111111111,0.717361111111111,0.86,0.111,0.965,0.036,0.212,0.841,0.012,1,0.172222222222222,0.1875,0.165714285714286,0.210810810810811,0.0935483870967742,0.197142857142857,0.1675,0.153125,0.378098976821678,0.390923671084804,0.372356283418266,0.408436627906461,0.291670208619419,0.398410678017765,0.373889332667712,0.36067193909272
17,0,0.695679012345679,0.604861111111111,0.665396825396825,0.643243243243243,0.681003584229391,0.676190476190476,0.700555555555556,0.599305555555556,0.029,0.325,0.049,0.898,0,0.05,0.016,0.07,0.175,0.240625,0.197142857142857,0.205405405405405,0.190322580645161,0.182857142857143,0.1725,0.246875,0.380495937920989,0.428132472247905,0.398410678017765,0.404544607263643,0.393190286129486,0.387102760089106,0.378287593980292,0.431868706828017
18,0,0.944444444444444,0.940972222222222,0.938412698412698,0.893093093093093,0.870250896057348,0.921904761904762,0.781111111111111,0.88125,1,0.002,0.285,0.984,0.037,0.002,0,0,0.0277777777777778,0.034375,0.0314285714285714,0.0540540540540541,0.067741935483871,0.0428571428571429,0.15,0.071875,0.164564269960688,0.182475789608111,0.174722749795061,0.226430525720584,0.251708848057466,0.202824912546281,0.357518599337406,0.258685336747709
19,0.007,0.91358024691358,0.792361111111111,0.781587301587302,0.705705705705706,0.951254480286738,0.762539682539683,0.758888888888889,0.727083333333333,0.456,0.923,0.776,0.01,0.12,0.205,0.062,0.169,0.0444444444444444,0.109375,0.114285714285714,0.172972972972973,0.0258064516129032,0.131428571428571,0.14,0.159375,0.206367231485254,0.312597947032651,0.318613451244542,0.378736058459697,0.158813851538342,0.338352174551519,0.347421580196114,0.366598680407457
20,0.013,0.631481481481482,0.614583333333333,0.580952380952381,0.664264264264264,0.862365591397849,0.608253968253968,0.608888888888889,0.636111111111111,0.104,0.017,1,0.144,0.626,0.021,0,0.961,0.225,0.240625,0.257142857142857,0.191891891891892,0.0709677419354839,0.242857142857143,0.25,0.2125,0.418163513752675,0.428132472247905,0.437684526315862,0.394321741700151,0.257186102876271,0.42942335846354,0.43355498476206,0.409717388644897
21,0.004,0.983333333333333,0.91875,0.994285714285714,1,1,0.988571428571429,1,0.872916666666667,1,0.001,1,1,1,1,1,0,0.00833333333333333,0.046875,0.00285714285714286,0,0,0.00571428571428571,0,0.109375,0.0910324561790707,0.211702125564795,0.0534522483824849,0,0,0.0754845176362906,0,0.312597947032651
24,0,0.574691358024691,0.574305555555556,0.681269841269841,0.527927927927928,0.632258064516129,0.591746031746032,0.587222222222222,0.515277777777778,0,0,0,0.149,0.002,0.142,0,0.001,0.325,0.328125,0.194285714285714,0.32972972972973,0.229032258064516,0.254285714285714,0.2825,0.35625,0.469026728900815,0.470265965566195,0.396216242326821,0.470751497954584,0.420889448381209,0.436082361994725,0.450779052736443,0.479640343313789
